episode,reward,steps_survived
1085,200.00,200
1086,200.00,200
1087,200.00,200
1088,200.00,200
1089,200.00,200
1090,200.00,200
1091,64.00,75
1092,148.00,159
1093,200.00,200
1094,172.00,183
1095,-5.00,6
1096,18.00,29
1097,200.00,200
1098,200.00,200
1099,200.00,200
1100,106.00,117
1101,67.00,78
1102,-4.00,7
1103,184.00,195
1104,200.00,200
1105,200.00,200
1106,200.00,200
1107,200.00,200
1108,200.00,200
1109,200.00,200
1110,200.00,200
1111,200.00,200
1112,200.00,200
1113,200.00,200
1114,200.00,200
1115,181.00,192
1116,200.00,200
1117,200.00,200
1118,161.00,172
1119,200.00,200
1120,200.00,200
1121,13.00,24
1122,63.00,74
1123,78.00,89
1124,200.00,200
1125,200.00,200
1126,108.00,119
1127,77.00,88
1128,200.00,200
1129,200.00,200
1130,200.00,200
1131,80.00,91
1132,200.00,200
1133,200.00,200
1134,120.00,131
1135,200.00,200
1136,138.00,149
1137,200.00,200
1138,200.00,200
1139,18.00,29
1140,200.00,200
1141,200.00,200
1142,116.00,127
1143,200.00,200
1144,200.00,200
1145,200.00,200
1146,200.00,200
1147,125.00,136
1148,109.00,120
1149,15.00,26
1150,86.00,97
1151,200.00,200
1152,200.00,200
1153,200.00,200
1154,17.00,28
1155,200.00,200
1156,200.00,200
1157,52.00,63
1158,162.00,173
1159,-4.00,7
1160,132.00,143
1161,200.00,200
1162,50.00,61
1163,200.00,200
1164,200.00,200
1165,200.00,200
1166,53.00,64
1167,86.00,97
1168,-2.00,9
1169,200.00,200
1170,148.00,159
1171,200.00,200
1172,200.00,200
1173,200.00,200
1174,200.00,200
1175,200.00,200
1176,200.00,200
1177,200.00,200
1178,125.00,136
1179,71.00,82
1180,200.00,200
1181,200.00,200
1182,200.00,200
1183,200.00,200
1184,28.00,39
1185,78.00,89
1186,158.00,169
1187,32.00,43
1188,58.00,69
1189,127.00,138
1190,200.00,200
1191,164.00,175
1192,200.00,200
1193,200.00,200
1194,200.00,200
1195,200.00,200
1196,24.00,35
1197,11.00,22
1198,-1.00,10
1199,44.00,55
1200,200.00,200
1201,19.00,30
1202,200.00,200
1203,72.00,83
1204,200.00,200
1205,18.00,29
1206,200.00,200
1207,200.00,200
1208,57.00,68
1209,-3.00,8
1210,185.00,196
1211,200.00,200
1212,103.00,114
1213,114.00,125
1214,39.00,50
1215,200.00,200
1216,200.00,200
1217,-3.00,8
1218,29.00,40
1219,39.00,50
1220,200.00,200
1221,200.00,200
1222,17.00,28
1223,6.00,17
1224,15.00,26
1225,20.00,31
1226,200.00,200
1227,29.00,40
1228,106.00,117
1229,19.00,30
1230,84.00,95
1231,53.00,64
1232,200.00,200
1233,200.00,200
1234,200.00,200
1235,21.00,32
1236,175.00,186
1237,162.00,173
1238,3.00,14
1239,77.00,88
1240,200.00,200
1241,16.00,27
1242,146.00,157
1243,200.00,200
1244,200.00,200
1245,200.00,200
1246,200.00,200
1247,103.00,114
1248,162.00,173
1249,180.00,191
1250,151.00,162
1251,200.00,200
1252,144.00,155
1253,85.00,96
1254,89.00,100
1255,65.00,76
1256,200.00,200
1257,141.00,152
1258,200.00,200
1259,22.00,33
1260,170.00,181
1261,200.00,200
1262,102.00,113
1263,200.00,200
1264,200.00,200
1265,176.00,187
1266,128.00,139
1267,54.00,65
1268,177.00,188
1269,73.00,84
1270,200.00,200
1271,122.00,133
1272,28.00,39
1273,49.00,60
1274,116.00,127
1275,35.00,46
1276,66.00,77
1277,5.00,16
1278,71.00,82
1279,87.00,98
1280,37.00,48
1281,169.00,180
1282,3.00,14
1283,45.00,56
1284,153.00,164
1285,180.00,191
1286,119.00,130
1287,69.00,80
1288,149.00,160
1289,57.00,68
1290,182.00,193
1291,29.00,40
1292,200.00,200
1293,200.00,200
1294,56.00,67
1295,200.00,200
1296,47.00,58
1297,128.00,139
1298,7.00,18
1299,200.00,200
1300,200.00,200
1301,200.00,200
1302,200.00,200
1303,118.00,129
1304,200.00,200
1305,200.00,200
1306,200.00,200
1307,200.00,200
1308,97.00,108
1309,31.00,42
1310,13.00,24
1311,118.00,129
1312,113.00,124
1313,200.00,200
1314,200.00,200
1315,60.00,71
1316,200.00,200
1317,200.00,200
1318,200.00,200
1319,200.00,200
1320,200.00,200
1321,200.00,200
1322,141.00,152
1323,200.00,200
1324,53.00,64
1325,0.00,11
1326,200.00,200
1327,87.00,98
1328,200.00,200
1329,185.00,196
1330,156.00,167
1331,11.00,22
1332,33.00,44
1333,200.00,200
1334,200.00,200
1335,56.00,67
1336,4.00,15
1337,15.00,26
1338,0.00,11
1339,79.00,90
1340,147.00,158
1341,29.00,40
1342,86.00,97
1343,-3.00,8
1344,70.00,81
1345,38.00,49
1346,200.00,200
1347,112.00,123
1348,146.00,157
1349,33.00,44
1350,200.00,200
1351,12.00,23
1352,101.00,112
1353,200.00,200
1354,200.00,200
1355,164.00,175
1356,200.00,200
1357,112.00,123
1358,40.00,51
1359,69.00,80
1360,-3.00,8
1361,15.00,26
1362,33.00,44
1363,101.00,112
1364,-2.00,9
1365,121.00,132
1366,60.00,71
1367,145.00,156
1368,4.00,15
1369,62.00,73
1370,105.00,116
1371,36.00,47
1372,24.00,35
1373,23.00,34
1374,69.00,80
1375,200.00,200
1376,112.00,123
1377,187.00,198
1378,200.00,200
1379,14.00,25
1380,12.00,23
1381,160.00,171
1382,-2.00,9
1383,200.00,200
1384,7.00,18
1385,23.00,34
1386,53.00,64
1387,-2.00,9
1388,200.00,200
1389,-1.00,10
1390,7.00,18
1391,26.00,37
1392,106.00,117
1393,120.00,131
1394,68.00,79
1395,158.00,169
1396,46.00,57
1397,200.00,200
1398,29.00,40
1399,27.00,38
1400,48.00,59
1401,112.00,123
1402,98.00,109
1403,21.00,32
1404,22.00,33
1405,84.00,95
1406,-5.00,6
1407,35.00,46
1408,37.00,48
1409,2.00,13
1410,101.00,112
1411,147.00,158
1412,9.00,20
1413,-1.00,10
1414,50.00,61
1415,29.00,40
1416,56.00,67
1417,92.00,103
1418,-1.00,10
1419,28.00,39
1420,14.00,25
1421,3.00,14
1422,41.00,52
1423,10.00,21
1424,82.00,93
1425,200.00,200
1426,57.00,68
1427,-4.00,7
1428,-3.00,8
1429,3.00,14
1430,60.00,71
1431,2.00,13
1432,14.00,25
1433,14.00,25
1434,33.00,44
1435,24.00,35
1436,106.00,117
1437,40.00,51
1438,23.00,34
1439,76.00,87
1440,83.00,94
1441,187.00,198
1442,96.00,107
1443,122.00,133
1444,76.00,87
1445,200.00,200
1446,86.00,97
1447,52.00,63
1448,109.00,120
1449,78.00,89
1450,24.00,35
1451,85.00,96
1452,22.00,33
1453,17.00,28
1454,70.00,81
1455,-6.00,5
1456,12.00,23
1457,62.00,73
1458,32.00,43
