system:index,classification,.geo
195,16,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91440549136726,50.940630069273084]}"
196,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91449532289568,50.940630069273084]}"
197,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91458515442409,50.940630069273084]}"
198,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.9146749859525,50.940630069273084]}"
199,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91476481748091,50.940630069273084]}"
200,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91485464900933,50.940630069273084]}"
201,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91494448053773,50.940630069273084]}"
202,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91503431206614,50.940630069273084]}"
203,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91512414359455,50.940630069273084]}"
204,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91521397512297,50.940630069273084]}"
205,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91530380665138,50.940630069273084]}"
206,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.9153936381798,50.940630069273084]}"
207,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.9154834697082,50.940630069273084]}"
208,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91557330123662,50.940630069273084]}"
209,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91566313276503,50.940630069273084]}"
210,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91575296429345,50.940630069273084]}"
211,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91584279582186,50.940630069273084]}"
212,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91593262735026,50.940630069273084]}"
213,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91602245887867,50.940630069273084]}"
214,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91611229040709,50.940630069273084]}"
215,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.9162021219355,50.940630069273084]}"
216,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91629195346391,50.940630069273084]}"
