system:index,classification,.geo
178,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91566313276503,50.94054023774468]}"
179,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91575296429345,50.94054023774468]}"
180,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91584279582186,50.94054023774468]}"
181,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91593262735026,50.94054023774468]}"
182,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91602245887867,50.94054023774468]}"
183,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91611229040709,50.94054023774468]}"
184,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.9162021219355,50.94054023774468]}"
185,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91629195346391,50.94054023774468]}"
186,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91638178499232,50.94054023774468]}"
187,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91647161652074,50.94054023774468]}"
188,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91656144804915,50.94054023774468]}"
189,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.9138665021968,50.940630069273084]}"
190,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.9139563337252,50.940630069273084]}"
191,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91404616525361,50.940630069273084]}"
192,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91413599678202,50.940630069273084]}"
193,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91422582831044,50.940630069273084]}"
194,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91431565983885,50.940630069273084]}"
195,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91440549136726,50.940630069273084]}"
196,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91449532289568,50.940630069273084]}"
197,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91458515442409,50.940630069273084]}"
198,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.9146749859525,50.940630069273084]}"
199,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91476481748091,50.940630069273084]}"
200,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91485464900933,50.940630069273084]}"
201,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91494448053773,50.940630069273084]}"
202,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91503431206614,50.940630069273084]}"
203,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91512414359455,50.940630069273084]}"
204,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91521397512297,50.940630069273084]}"
205,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91530380665138,50.940630069273084]}"
206,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.9153936381798,50.940630069273084]}"
207,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.9154834697082,50.940630069273084]}"
208,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91557330123662,50.940630069273084]}"
209,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91566313276503,50.940630069273084]}"
210,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91575296429345,50.940630069273084]}"
211,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91584279582186,50.940630069273084]}"
212,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91593262735026,50.940630069273084]}"
213,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91602245887867,50.940630069273084]}"
214,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91611229040709,50.940630069273084]}"
215,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.9162021219355,50.940630069273084]}"
216,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91629195346391,50.940630069273084]}"
217,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91638178499232,50.940630069273084]}"
218,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91647161652074,50.940630069273084]}"
219,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91656144804915,50.940630069273084]}"
220,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91665127957756,50.940630069273084]}"
221,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91674111110598,50.940630069273084]}"
222,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.9138665021968,50.9407199008015]}"
223,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.9139563337252,50.9407199008015]}"
224,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91404616525361,50.9407199008015]}"
225,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91413599678202,50.9407199008015]}"
226,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91422582831044,50.9407199008015]}"
227,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91431565983885,50.9407199008015]}"
228,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91440549136726,50.9407199008015]}"
229,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91449532289568,50.9407199008015]}"
230,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91458515442409,50.9407199008015]}"
231,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.9146749859525,50.9407199008015]}"
232,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91476481748091,50.9407199008015]}"
233,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91485464900933,50.9407199008015]}"
234,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91494448053773,50.9407199008015]}"
235,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91503431206614,50.9407199008015]}"
236,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91512414359455,50.9407199008015]}"
237,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91521397512297,50.9407199008015]}"
238,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91530380665138,50.9407199008015]}"
239,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.9153936381798,50.9407199008015]}"
240,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.9154834697082,50.9407199008015]}"
241,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91557330123662,50.9407199008015]}"
242,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91566313276503,50.9407199008015]}"
243,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91575296429345,50.9407199008015]}"
244,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91584279582186,50.9407199008015]}"
245,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91593262735026,50.9407199008015]}"
246,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91602245887867,50.9407199008015]}"
247,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91611229040709,50.9407199008015]}"
248,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.9162021219355,50.9407199008015]}"
249,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91629195346391,50.9407199008015]}"
250,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91638178499232,50.9407199008015]}"
251,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91647161652074,50.9407199008015]}"
252,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91656144804915,50.9407199008015]}"
253,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91665127957756,50.9407199008015]}"
254,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91674111110598,50.9407199008015]}"
255,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91683094263439,50.9407199008015]}"
256,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91692077416279,50.9407199008015]}"
257,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91377667066838,50.94080973232991]}"
258,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.9138665021968,50.94080973232991]}"
259,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.9139563337252,50.94080973232991]}"
260,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91404616525361,50.94080973232991]}"
261,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91413599678202,50.94080973232991]}"
262,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91422582831044,50.94080973232991]}"
263,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91431565983885,50.94080973232991]}"
264,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91440549136726,50.94080973232991]}"
265,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91449532289568,50.94080973232991]}"
266,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91458515442409,50.94080973232991]}"
267,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.9146749859525,50.94080973232991]}"
268,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91476481748091,50.94080973232991]}"
269,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91485464900933,50.94080973232991]}"
270,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91494448053773,50.94080973232991]}"
271,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91503431206614,50.94080973232991]}"
