system:index,B2,B3,B4,B8,NDVI,cluster,.geo
17369,397.0,661.0,558.0,2458.0,0.6299735,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.92401746490734,50.9512301896257]}"
17370,529.0,789.0,804.0,2366.0,0.49274448,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.92410729643575,50.9512301896257]}"
17371,529.0,789.0,804.0,2366.0,0.49274448,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.92419712796416,50.9512301896257]}"
17372,583.0,838.0,969.0,2180.0,0.38456652,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.92428695949258,50.9512301896257]}"
17373,583.0,838.0,969.0,2180.0,0.38456652,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.92437679102099,50.9512301896257]}"
17374,476.0,698.0,706.0,2250.0,0.5223275,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.9244666225494,50.9512301896257]}"
17375,366.0,614.0,484.0,2620.0,0.6881443,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.92455645407782,50.9512301896257]}"
17376,366.0,614.0,484.0,2620.0,0.6881443,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.92464628560623,50.9512301896257]}"
17377,364.0,660.0,430.0,2796.0,0.733416,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.92473611713464,50.9512301896257]}"
17378,469.0,734.0,711.0,2548.0,0.56366986,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.92482594866306,50.9512301896257]}"
17379,469.0,734.0,711.0,2548.0,0.56366986,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.92491578019145,50.9512301896257]}"
17380,572.0,836.0,906.0,2292.0,0.43339586,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.92500561171987,50.9512301896257]}"
17381,572.0,836.0,906.0,2292.0,0.43339586,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.92509544324828,50.9512301896257]}"
17382,550.0,796.0,847.0,2192.0,0.4425798,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.9251852747767,50.9512301896257]}"
17383,400.0,625.0,578.0,2370.0,0.60786974,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.92527510630511,50.9512301896257]}"
17384,400.0,625.0,578.0,2370.0,0.60786974,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.92536493783352,50.9512301896257]}"
17385,342.0,592.0,425.0,2626.0,0.7214028,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.92545476936193,50.9512301896257]}"
17386,394.0,652.0,520.0,2558.0,0.66211826,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.92554460089035,50.9512301896257]}"
17387,394.0,652.0,520.0,2558.0,0.66211826,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.92563443241876,50.9512301896257]}"
17388,489.0,767.0,778.0,2348.0,0.5022393,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.92572426394717,50.9512301896257]}"
17389,489.0,767.0,778.0,2348.0,0.5022393,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.92581409547559,50.9512301896257]}"
17390,570.0,828.0,872.0,2148.0,0.42251655,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.92590392700399,50.9512301896257]}"
17391,484.0,714.0,700.0,2194.0,0.5162405,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.9259937585324,50.9512301896257]}"
17392,484.0,714.0,700.0,2194.0,0.5162405,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.92608359006081,50.9512301896257]}"
17393,392.0,608.0,530.0,2342.0,0.6309192,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.92617342158923,50.9512301896257]}"
17394,381.0,636.0,474.0,2490.0,0.68016195,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.92626325311764,50.9512301896257]}"
17395,381.0,636.0,474.0,2490.0,0.68016195,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.92635308464605,50.9512301896257]}"
17396,428.0,696.0,621.0,2504.0,0.60256,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.92644291617447,50.9512301896257]}"
17397,538.0,800.0,883.0,2242.0,0.43488,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.92653274770288,50.9512301896257]}"
17398,366.0,650.0,511.0,2608.0,0.67233086,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.92662257923129,50.9512301896257]}"
17399,518.0,756.0,852.0,2292.0,0.45801526,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.9267124107597,50.9512301896257]}"
17400,518.0,756.0,852.0,2292.0,0.45801526,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.92680224228812,50.9512301896257]}"
17401,520.0,754.0,839.0,2116.0,0.4321489,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.92689207381652,50.9512301896257]}"
17402,404.0,633.0,618.0,2354.0,0.5841184,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.92698190534493,50.9512301896257]}"
17403,404.0,633.0,618.0,2354.0,0.5841184,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.92707173687334,50.9512301896257]}"
17404,346.0,588.0,408.0,2670.0,0.7348928,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.92716156840176,50.9512301896257]}"
17405,349.0,626.0,446.0,2696.0,0.7161044,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.92725139993017,50.9512301896257]}"
17406,349.0,626.0,446.0,2696.0,0.7161044,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.92734123145858,50.9512301896257]}"
17407,458.0,713.0,684.0,2476.0,0.5670886,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.927431062987,50.9512301896257]}"
17408,458.0,713.0,684.0,2476.0,0.5670886,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.92752089451541,50.9512301896257]}"
17409,578.0,802.0,928.0,2278.0,0.42108548,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.92761072604382,50.9512301896257]}"
17410,541.0,766.0,764.0,2618.0,0.5481963,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.92770055757224,50.9512301896257]}"
17411,541.0,766.0,764.0,2618.0,0.5481963,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.92779038910065,50.9512301896257]}"
17412,434.0,712.0,568.0,2946.0,0.6767217,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.92788022062905,50.9512301896257]}"
17413,574.0,844.0,920.0,1968.0,0.3628809,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91458515442409,50.95132002115411]}"
17414,574.0,844.0,920.0,1968.0,0.3628809,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.9146749859525,50.95132002115411]}"
17415,461.0,698.0,708.0,1982.0,0.47360596,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91476481748091,50.95132002115411]}"
17416,461.0,698.0,708.0,1982.0,0.47360596,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91485464900933,50.95132002115411]}"
17417,388.0,604.0,532.0,1848.0,0.5529412,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91494448053773,50.95132002115411]}"
17418,389.0,626.0,558.0,1954.0,0.5557325,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91503431206614,50.95132002115411]}"
17419,389.0,626.0,558.0,1954.0,0.5557325,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91512414359455,50.95132002115411]}"
17420,493.0,734.0,778.0,2342.0,0.50128204,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91521397512297,50.95132002115411]}"
17421,590.0,826.0,913.0,2208.0,0.41493112,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91530380665138,50.95132002115411]}"
17422,590.0,826.0,913.0,2208.0,0.41493112,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.9153936381798,50.95132002115411]}"
17423,522.0,747.0,750.0,2204.0,0.49221393,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.9154834697082,50.95132002115411]}"
